player_name,team,total_hits,at_bats,obp,bb_rate,k_rate
"Hoffman, Nolan",BAL,0,1,0.0,0.0,0.0
"Leiter, Jack",COL,0,3,0.0,0.0,0.6666666666666666
"Holmes, Grant",MIA,64,259,0.2611683848797251,0.04633204633204633,0.27413127413127414
"Lambert, Peter",BOS,34,145,0.2832369942196532,0.10344827586206896,0.2896551724137931
"Banda, Anthony",TEX,0,1,0.75,3.0,0.0
"Taylor, Troy",OAK,45,181,0.29357798165137616,0.10497237569060773,0.292817679558011
"Romero, Jose",STL,4,7,0.5,0.0,0.14285714285714285
"Henriquez, Ronny",BOS,1,1,0.5,0.0,0.0
"Molina, Anthony",SF,12,39,0.3469387755102041,0.1282051282051282,0.3333333333333333
"Duffy, Danny",CIN,0,1,0.0,0.0,0.0
"Pallante, Andre",HOU,0,1,0.0,0.0,1.0
"Benton, Trey",CIN,0,1,0.3333333333333333,1.0,1.0
"Nola, Aaron",NYM,13,44,0.3,0.045454545454545456,0.25
"Castellanos, Humberto",MIL,1,2,0.5,0.0,0.5
"Kelly, Kevin",PHI,0,1,0.0,0.0,0.0
"Higginbotham, Jake",DET,0,1,0.0,0.0,0.0
"Avila, Nick",LAA,0,1,0.0,0.0,0.0
"Muller, Kyle",SEA,104,411,0.27672955974842767,0.0681265206812652,0.34306569343065696
"Fried, Max",PHI,38,175,0.28217821782178215,0.10857142857142857,0.4057142857142857
"Sborz, Josh",CLE,0,1,0.0,0.0,0.0
"Pérez, Martín",ATL,55,195,0.3442622950819672,0.14871794871794872,0.2923076923076923
"Chafin, Andrew",NYY,42,179,0.26406926406926406,0.10614525139664804,0.19553072625698323
"Jackson, Gabriel",BAL,1,1,1.0,0.0,0.0
"Effross, Scott",MIA,143,557,0.2703125,0.05385996409335727,0.3141831238779174
"Priester, Quinn",NYY,0,1,0.0,0.0,0.0
"Hader, Josh",LAA,8,33,0.2972972972972973,0.09090909090909091,0.3333333333333333
"Odorizzi, Jake",DET,1,3,0.3333333333333333,0.0,0.0
"Feyereisen, J.P.",COL,1,12,0.26666666666666666,0.25,0.75
"Knack, Landon",COL,127,453,0.3218390804597701,0.09050772626931568,0.19205298013245034
"Jimenez, Antonio",DET,0,2,0.4,1.0,0.0
"Uribe, Abner",SEA,1,5,0.3333333333333333,0.2,0.4
"Treinen, Blake",NYM,87,346,0.2895377128953771,0.09248554913294797,0.315028901734104
"Moreno, Luis",MIA,0,4,0.0,0.0,0.5
"Schreiber, John",OAK,14,72,0.21839080459770116,0.06944444444444445,0.3611111111111111
"Imanaga, Shota",WSH,26,115,0.2462686567164179,0.06086956521739131,0.20869565217391303
"McLoughlin, Trey",HOU,1,3,0.5,0.6666666666666666,0.3333333333333333
"Simon, Ben",MIA,0,1,0.5,1.0,0.0
"Miller, Ryan",TEX,10,40,0.26666666666666666,0.05,0.325
"Slaten, Justin",TB,6,34,0.1891891891891892,0.029411764705882353,0.17647058823529413
"Matthews, John",AZ,0,1,0.0,0.0,0.0
"Winckowski, Josh",BOS,1,1,1.0,0.0,0.0
"Domínguez, Seranthony",PHI,1,1,1.0,1.0,0.0
"Palencia, Daniel",TEX,2,2,0.6666666666666666,0.0,0.0
"Leclerc, José",BOS,5,13,0.4375,0.15384615384615385,0.3076923076923077
"Nelson, Ryne",SD,3,20,0.18181818181818182,0.05,0.4
"Hall, DL",AZ,1,3,0.3333333333333333,0.0,0.6666666666666666
"Gil, Luis",CLE,47,204,0.304,0.14215686274509803,0.37745098039215685
"Stephens, Jackson",TB,2,8,0.25,0.0,0.625
"Goss, JJ",PHI,0,1,0.0,0.0,1.0
"White, Mitch",MIN,0,2,0.0,0.0,0.5
"Farmer, Buck",CHC,128,492,0.3242784380305603,0.12804878048780488,0.34146341463414637
"Alexander, Scott",SF,13,44,0.2978723404255319,0.022727272727272728,0.3181818181818182
"Allen, Logan",AZ,0,1,0.0,0.0,1.0
"Zuñiga, Guillo",TEX,129,464,0.3509700176366843,0.15086206896551724,0.26939655172413796
"Hurter, Brant",HOU,54,231,0.2613240418118467,0.09090909090909091,0.3246753246753247
"Weaver, Luke",NYM,0,1,0.0,0.0,1.0
"Jacques, Joe",BOS,0,1,0.0,0.0,1.0
"Henzman, Lincoln",MIA,0,2,0.0,0.0,1.0
"Rogers, Taylor",AZ,0,2,0.0,0.0,0.5
"Iriarte, Jairo",LAA,91,404,0.25396825396825395,0.05198019801980198,0.2995049504950495
"Morejon, Adrian",SEA,0,6,0.0,0.0,0.8333333333333334
